Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,lag_demand_1,lag_demand_7,lag_demand_30,rolling_mean_7,rolling_mean_30,seasonal_index,expected_promo_uplift,price_elasticity,stock_cover_days,inventory_turnover,lead_time_demand
2022-01-17,S001,P0001,Groceries,East,134,69,95,73.59,95.27,0,Rainy,1,92.6,Summer,97.0,36.0,0.0,102.71428571428571,0.0,0.9924041127832443,0.0,-4.828975578189656,1.303320828122829,0.5145413870246085,719.0
2022-01-18,S001,P0001,Electronics,North,339,123,157,134.0,90.7,15,Sunny,0,86.51,Spring,69.0,16.0,0.0,118.0,0.0,0.9953244926435111,0.0,-4.828975578189656,2.8704487722269265,0.3627248599233264,826.0
2022-01-19,S001,P0001,Groceries,West,431,211,139,228.92,97.97,10,Cloudy,0,95.06,Summer,123.0,104.0,0.0,133.28571428571428,0.0,0.9924041127832443,0.0,-4.828975578189656,3.2312305879832928,0.4894456042681512,933.0
2022-01-20,S001,P0001,Furniture,North,154,79,113,90.49,10.38,0,Cloudy,0,11.46,Spring,211.0,80.0,0.0,133.14285714285714,0.0,0.9953244926435111,0.0,-4.828975578189656,1.1557842821914872,0.5126541207008436,932.0
2022-01-21,S001,P0001,Clothing,South,430,390,195,401.1,13.1,15,Snowy,1,15.14,Summer,79.0,177.0,0.0,163.57142857142858,0.0,0.9924041127832443,0.0,-4.828975578189656,2.6272148031770968,0.906765868402697,1145.0
2022-01-22,S001,P0001,Electronics,North,450,191,197,181.42,87.64,0,Snowy,1,91.45,Spring,390.0,176.0,0.0,165.71428571428572,0.0,0.9953244926435111,0.0,-4.828975578189656,2.7138795554406823,0.4243501444123528,1160.0
2022-01-23,S001,P0001,Furniture,West,118,79,155,69.99,22.65,15,Cloudy,0,25.19,Spring,191.0,97.0,0.0,163.14285714285714,0.0,0.9953244926435111,0.0,-4.828975578189656,0.7228493917913713,0.6689246401354785,1142.0
2022-01-24,S001,P0001,Toys,South,115,9,132,17.87,76.71,15,Snowy,1,75.85,Summer,79.0,69.0,0.0,154.57142857142858,0.0,0.9924041127832443,0.0,-4.828975578189656,0.7435115913918906,0.07819287576020852,1082.0
2022-01-25,S001,P0001,Furniture,East,348,189,122,185.83,18.35,15,Rainy,1,22.01,Autumn,9.0,123.0,0.0,164.0,0.0,1.0096550398328077,0.0,-4.828975578189656,2.1206581352833638,0.5429474288997415,1148.0
2022-01-26,S001,P0001,Clothing,South,200,49,101,50.62,59.48,5,Sunny,1,55.45,Winter,189.0,211.0,0.0,140.85714285714286,0.0,1.0026814243408946,0.0,-4.828975578189656,1.4188709840883753,0.2448775612193903,986.0
2022-01-27,S001,P0001,Furniture,South,410,164,116,180.45,93.34,0,Cloudy,0,94.33,Winter,49.0,79.0,0.0,153.0,0.0,1.0026814243408946,0.0,-4.828975578189656,2.6779882429784454,0.3999024628139478,1071.0
2022-01-28,S001,P0001,Furniture,East,158,97,82,115.96,53.25,20,Cloudy,1,49.95,Autumn,164.0,390.0,0.0,111.14285714285714,0.0,1.0096550398328077,0.0,-4.828975578189656,1.4203159111339414,0.6135357368753953,778.0
2022-01-29,S001,P0001,Furniture,South,154,47,124,48.79,88.06,15,Snowy,1,92.84,Autumn,97.0,191.0,0.0,90.57142857142857,0.0,1.0096550398328077,0.0,-4.828975578189656,1.6984402079722705,0.30499675535366644,634.0
2022-01-30,S001,P0001,Furniture,West,498,130,63,148.26,68.76,10,Snowy,0,73.29,Spring,47.0,79.0,0.0,97.85714285714286,114.23333333333333,0.9953244926435111,0.0,-4.828975578189656,5.083855913664868,0.2609917687211403,685.0
2022-01-31,S001,P0001,Clothing,West,410,200,152,212.24,70.78,0,Sunny,1,68.88,Summer,130.0,9.0,127.0,125.14285714285714,116.66666666666667,0.9924041127832443,0.0,-4.828975578189656,3.2736397855594848,0.48768593026091195,876.0
2022-02-01,S001,P0001,Groceries,East,419,279,84,297.26,34.49,0,Sunny,0,33.85,Summer,200.0,189.0,81.0,138.0,123.26666666666667,0.9924041127832443,0.0,-4.828975578189656,3.034033309196235,0.6657122405153901,966.0
2022-02-02,S001,P0001,Electronics,South,415,38,149,53.13,52.49,5,Cloudy,0,48.25,Autumn,279.0,49.0,5.0,136.42857142857142,124.36666666666666,1.0096550398328077,0.0,-4.828975578189656,3.0396567960657115,0.09154420621536978,954.9999999999999
2022-02-03,S001,P0001,Clothing,South,345,71,186,84.02,27.71,20,Rainy,1,28.96,Winter,38.0,164.0,58.0,123.14285714285714,124.8,1.0026814243408946,0.0,-4.828975578189656,2.7993508751593836,0.20573746740075338,862.0
2022-02-04,S001,P0001,Furniture,South,121,25,25,37.72,16.84,15,Cloudy,0,12.53,Autumn,71.0,97.0,147.0,112.85714285714286,120.73333333333333,1.0096550398328077,0.0,-4.828975578189656,1.0712027317566712,0.2064409578860446,790.0
2022-02-05,S001,P0001,Groceries,South,458,350,182,362.43,51.44,15,Snowy,0,51.54,Summer,25.0,47.0,37.0,156.14285714285714,131.16666666666666,0.9924041127832443,0.0,-4.828975578189656,2.931334003840176,0.7640253219820999,1093.0
2022-02-06,S001,P0001,Electronics,North,167,69,92,81.06,68.85,5,Cloudy,1,71.82,Spring,350.0,130.0,107.0,147.42857142857142,129.9,0.9953244926435111,0.0,-4.828975578189656,1.1319841192989253,0.4129263913824058,1032.0
2022-02-07,S001,P0001,Electronics,South,244,62,105,73.41,11.34,5,Rainy,0,9.63,Spring,69.0,200.0,2.0,127.71428571428571,131.9,0.9953244926435111,0.0,-4.828975578189656,1.9090197831675424,0.253994264645637,894.0
2022-02-08,S001,P0001,Toys,West,140,12,48,15.6,67.64,10,Cloudy,0,69.12,Spring,62.0,279.0,350.0,89.57142857142857,120.63333333333334,0.9953244926435111,0.0,-4.828975578189656,1.5612553767723436,0.08565310492505354,627.0
2022-02-09,S001,P0001,Groceries,South,209,16,143,22.37,90.55,0,Rainy,0,90.2,Autumn,12.0,38.0,36.0,86.42857142857143,119.96666666666667,1.0096550398328077,0.0,-4.828975578189656,2.415387155357438,0.07651841224294596,605.0
2022-02-10,S001,P0001,Clothing,South,311,237,102,229.08,89.58,5,Rainy,0,91.4,Spring,16.0,71.0,16.0,110.14285714285714,127.33333333333333,0.9953244926435111,0.0,-4.828975578189656,2.82104444732409,0.7618129218900674,771.0
2022-02-11,S001,P0001,Electronics,East,216,203,34,198.49,19.93,0,Sunny,0,24.88,Autumn,237.0,25.0,104.0,135.57142857142858,130.63333333333333,1.0096550398328077,0.0,-4.828975578189656,1.5920817100136884,0.9393799167052291,949.0000000000001
2022-02-12,S001,P0001,Toys,South,358,29,54,48.16,64.4,15,Sunny,1,61.19,Autumn,203.0,350.0,80.0,89.71428571428571,128.93333333333334,1.0096550398328077,0.0,-4.828975578189656,3.9860028630507403,0.0809829656520525,628.0
2022-02-13,S001,P0001,Clothing,North,229,149,161,143.55,85.19,10,Rainy,0,85.28,Spring,29.0,69.0,177.0,101.14285714285714,128.0,0.9953244926435111,0.0,-4.828975578189656,2.2618879638775224,0.650371017023134,708.0
2022-02-14,S001,P0001,Clothing,North,429,259,156,256.33,97.41,10,Snowy,1,93.97,Winter,149.0,62.0,176.0,129.28571428571428,130.76666666666668,1.0026814243408946,0.0,-4.828975578189656,3.3156674395495203,0.6035889070146818,905.0
2022-02-15,S001,P0001,Furniture,North,126,111,32,115.57,51.27,5,Snowy,0,53.8,Winter,259.0,12.0,97.0,143.42857142857142,131.23333333333332,1.0026814243408946,0.0,-4.828975578189656,0.8778739922364887,0.8802537668517051,1003.9999999999999
2022-02-16,S001,P0001,Electronics,West,373,373,91,372.09,65.22,10,Rainy,1,66.25,Autumn,111.0,16.0,69.0,194.42857142857142,141.36666666666667,1.0096550398328077,0.0,-4.828975578189656,1.9174561210251893,0.9997319753417314,1361.0
2022-02-17,S001,P0001,Furniture,West,82,31,146,27.62,49.34,5,Rainy,1,51.94,Spring,373.0,237.0,123.0,165.0,138.3,0.9953244926435111,0.0,-4.828975578189656,0.4966686856450636,0.37758830694275275,1155.0
2022-02-18,S001,P0001,Electronics,South,115,27,33,39.79,20.21,15,Rainy,0,18.45,Winter,31.0,203.0,211.0,139.85714285714286,132.16666666666666,1.0026814243408946,0.0,-4.828975578189656,0.8216801061549454,0.23457862728062556,979.0
2022-02-19,S001,P0001,Furniture,North,207,27,200,32.44,75.6,0,Snowy,1,71.3,Summer,27.0,29.0,79.0,139.57142857142858,130.43333333333334,0.9924041127832443,0.0,-4.828975578189656,1.4820497084995397,0.13037180106228874,977.0000000000001
2022-02-20,S001,P0001,Toys,South,284,166,189,175.44,73.76,10,Rainy,0,70.18,Autumn,27.0,149.0,390.0,142.0,122.96666666666667,1.0096550398328077,0.0,-4.828975578189656,1.9985925404644618,0.5843013023583244,994.0
2022-02-21,S001,P0001,Clothing,East,337,337,136,346.41,96.55,10,Sunny,0,100.1,Winter,166.0,259.0,191.0,153.14285714285714,127.83333333333333,1.0026814243408946,0.0,-4.828975578189656,2.199123706534912,0.9997033521210322,1072.0
2022-02-22,S001,P0001,Furniture,East,467,191,135,194.7,12.81,15,Sunny,1,12.47,Spring,337.0,111.0,79.0,164.57142857142858,131.56666666666666,0.9953244926435111,0.0,-4.828975578189656,2.835950377374859,0.408906015842432,1152.0
2022-02-23,S001,P0001,Groceries,West,152,129,88,134.64,27.67,15,Cloudy,0,31.03,Spring,191.0,373.0,9.0,129.71428571428572,135.56666666666666,0.9953244926435111,0.0,-4.828975578189656,1.170903488500055,0.8481262327416174,908.0
2022-02-24,S001,P0001,Toys,East,277,177,108,169.54,25.72,10,Snowy,1,29.31,Winter,129.0,31.0,189.0,150.57142857142858,135.16666666666666,1.0026814243408946,0.0,-4.828975578189656,1.8384374703707214,0.6387585709130278,1054.0
2022-02-25,S001,P0001,Clothing,North,399,214,188,220.68,10.85,20,Cloudy,1,14.28,Summer,177.0,27.0,49.0,177.28571428571428,140.66666666666666,0.9924041127832443,0.0,-4.828975578189656,2.249335588306354,0.5362064645452267,1241.0
2022-02-26,S001,P0001,Groceries,North,167,106,55,113.33,52.53,10,Snowy,0,54.21,Spring,214.0,27.0,164.0,188.57142857142858,138.73333333333332,0.9953244926435111,0.0,-4.828975578189656,0.885136669947755,0.6343506882106523,1320.0
2022-02-27,S001,P0001,Clothing,North,129,68,165,81.82,34.84,10,Rainy,1,38.22,Autumn,106.0,166.0,97.0,174.57142857142858,137.76666666666668,1.0096550398328077,0.0,-4.828975578189656,0.7385294839290095,0.5267234701781565,1222.0
2022-02-28,S001,P0001,Furniture,South,361,344,103,338.3,89.39,10,Snowy,1,86.89,Summer,68.0,337.0,47.0,175.57142857142858,147.66666666666666,0.9924041127832443,0.0,-4.828975578189656,2.0549727575831502,0.9526446967599003,1229.0
2022-03-01,S001,P0001,Toys,North,263,28,113,33.68,15.95,5,Snowy,0,13.91,Winter,344.0,191.0,130.0,152.28571428571428,144.26666666666668,1.0026814243408946,0.0,-4.828975578189656,1.7258835661385583,0.10642341315089318,1066.0
2022-03-02,S001,P0001,Groceries,South,216,93,120,105.56,58.52,15,Snowy,1,58.92,Winter,28.0,129.0,200.0,147.14285714285714,140.7,1.0026814243408946,0.0,-4.828975578189656,1.4669641990879985,0.43035631652012957,1030.0
2022-03-03,S001,P0001,Toys,South,304,36,44,31.54,14.01,0,Snowy,1,12.87,Autumn,93.0,177.0,279.0,127.0,132.6,1.0096550398328077,0.0,-4.828975578189656,2.3918174665617626,0.1183821111476488,889.0
2022-03-04,S001,P0001,Toys,South,338,284,43,274.86,33.06,15,Snowy,0,34.47,Autumn,36.0,214.0,38.0,137.0,140.8,1.0096550398328077,0.0,-4.828975578189656,2.465353756382203,0.8399881691807157,959.0
2022-03-05,S001,P0001,Furniture,East,496,282,167,274.26,27.67,10,Sunny,0,28.65,Spring,284.0,106.0,71.0,162.14285714285714,147.83333333333334,0.9953244926435111,0.0,-4.828975578189656,3.0571453728977724,0.5684337835113888,1135.0
2022-03-06,S001,P0001,Electronics,South,463,192,54,203.71,62.37,10,Cloudy,1,64.64,Winter,282.0,68.0,25.0,179.85714285714286,153.4,1.0026814243408946,0.0,-4.828975578189656,2.572834801936969,0.4145972792053552,1259.0
2022-03-07,S001,P0001,Toys,North,380,348,80,360.31,98.99,5,Rainy,0,97.93,Autumn,192.0,344.0,350.0,180.42857142857142,153.33333333333334,1.0096550398328077,0.0,-4.828975578189656,2.104929967555591,0.915548539857932,1263.0
2022-03-08,S001,P0001,Clothing,West,394,32,88,36.33,95.9,20,Sunny,1,98.49,Winter,348.0,28.0,69.0,181.0,152.1,1.0026814243408946,0.0,-4.828975578189656,2.175593594699061,0.08119766556711494,1267.0
2022-03-09,S001,P0001,Clothing,South,339,26,165,29.44,24.92,15,Sunny,0,24.38,Autumn,32.0,93.0,62.0,171.42857142857142,150.9,1.0096550398328077,0.0,-4.828975578189656,1.9763471308403433,0.076673547626069,1200.0
2022-03-10,S001,P0001,Clothing,East,285,147,184,161.02,24.69,10,Snowy,1,20.0,Spring,26.0,36.0,12.0,187.28571428571428,155.4,0.9953244926435111,0.0,-4.828975578189656,1.520927041244187,0.5156085584005612,1311.0
2022-03-11,S001,P0001,Groceries,North,348,141,188,155.99,46.7,10,Snowy,1,50.28,Summer,147.0,284.0,16.0,166.85714285714286,159.56666666666666,0.9924041127832443,0.0,-4.828975578189656,2.0843672456575684,0.40505601838552135,1168.0
2022-03-12,S001,P0001,Electronics,East,210,194,144,196.14,91.91,5,Rainy,1,90.84,Autumn,141.0,282.0,237.0,154.28571428571428,158.13333333333333,1.0096550398328077,0.0,-4.828975578189656,1.3602294808920146,0.9233698238933842,1080.0
2022-03-13,S001,P0001,Clothing,North,327,95,141,101.11,87.0,15,Sunny,0,91.43,Summer,194.0,192.0,203.0,140.42857142857142,154.53333333333333,0.9924041127832443,0.0,-4.828975578189656,2.326928941750534,0.2904310608376643,982.9999999999999
2022-03-14,S001,P0001,Electronics,West,84,74,168,80.12,59.11,10,Snowy,0,58.7,Summer,95.0,348.0,29.0,101.28571428571429,156.03333333333333,0.9924041127832443,0.0,-4.828975578189656,0.8285190925743272,0.8799048751486327,709.0
2022-03-15,S001,P0001,Furniture,West,172,78,187,78.64,69.17,20,Cloudy,0,70.1,Winter,74.0,32.0,149.0,107.85714285714286,153.66666666666666,1.0026814243408946,0.0,-4.828975578189656,1.5932248246658727,0.45322486926205696,755.0
2022-03-16,S001,P0001,Groceries,South,252,230,126,243.54,37.52,5,Cloudy,0,36.49,Autumn,78.0,26.0,259.0,137.0,152.7,1.0096550398328077,0.0,-4.828975578189656,1.838074398249453,0.9123363744545815,959.0
2022-03-17,S001,P0001,Groceries,South,124,89,86,102.55,30.81,15,Sunny,1,30.91,Spring,230.0,147.0,111.0,128.71428571428572,151.96666666666667,0.9953244926435111,0.0,-4.828975578189656,0.9626261506044139,0.717163577759871,901.0
2022-03-18,S001,P0001,Electronics,North,282,150,41,142.21,47.2,15,Snowy,0,43.88,Autumn,89.0,141.0,373.0,130.0,144.53333333333333,1.0096550398328077,0.0,-4.828975578189656,2.167563412759416,0.531726338177951,910.0
2022-03-19,S001,P0001,Clothing,South,388,285,28,285.57,17.8,20,Rainy,0,20.76,Summer,150.0,194.0,31.0,143.0,153.0,0.9924041127832443,0.0,-4.828975578189656,2.7113906359189377,0.7343468178304561,1001.0
2022-03-20,S001,P0001,Electronics,East,83,40,68,47.68,33.07,15,Snowy,1,29.26,Summer,285.0,95.0,27.0,135.14285714285714,153.43333333333334,0.9924041127832443,0.0,-4.828975578189656,0.6137107848315201,0.48134777376654636,946.0
2022-03-21,S001,P0001,Groceries,North,100,58,160,73.92,75.75,15,Sunny,1,77.25,Summer,40.0,74.0,27.0,132.85714285714286,154.46666666666667,0.9924041127832443,0.0,-4.828975578189656,0.7521220586655206,0.5794205794205795,930.0
2022-03-22,S001,P0001,Electronics,North,163,114,83,121.45,69.56,5,Snowy,1,67.3,Autumn,58.0,78.0,166.0,138.0,152.73333333333332,1.0096550398328077,0.0,-4.828975578189656,1.1803041274438812,0.6989576946658492,966.0
2022-03-23,S001,P0001,Electronics,South,82,21,124,15.89,86.7,0,Sunny,1,87.39,Winter,114.0,230.0,337.0,108.14285714285714,142.2,1.0026814243408946,0.0,-4.828975578189656,0.7575557608552198,0.2557856272838003,757.0
2022-03-24,S001,P0001,Clothing,North,279,35,84,42.16,12.46,5,Cloudy,0,15.25,Summer,21.0,89.0,191.0,100.42857142857143,137.0,0.9924041127832443,0.0,-4.828975578189656,2.775330396475771,0.1254030813328556,703.0
2022-03-25,S001,P0001,Electronics,South,441,31,137,41.5,45.18,0,Rainy,0,40.48,Autumn,35.0,150.0,129.0,83.42857142857143,133.73333333333332,1.0096550398328077,0.0,-4.828975578189656,5.279630579784505,0.07027884833371117,584.0
2022-03-26,S001,P0001,Groceries,South,81,4,128,22.91,81.93,20,Snowy,1,84.51,Summer,31.0,285.0,177.0,43.285714285714285,127.96666666666667,0.9924041127832443,0.0,-4.828975578189656,1.8669739874876523,0.04932182490752158,303.0
2022-03-27,S001,P0001,Toys,South,324,289,95,279.09,78.21,10,Snowy,0,81.17,Autumn,4.0,40.0,214.0,78.85714285714286,130.46666666666667,1.0096550398328077,0.0,-4.828975578189656,4.103491948615885,0.8917000925640234,552.0
2022-03-28,S001,P0001,Groceries,West,393,49,57,61.96,68.54,0,Rainy,0,65.85,Summer,289.0,58.0,106.0,77.57142857142857,128.56666666666666,0.9924041127832443,0.0,-4.828975578189656,5.059775611550488,0.12465021622996693,543.0
2022-03-29,S001,P0001,Electronics,West,110,3,65,-1.27,65.91,5,Rainy,0,63.5,Winter,49.0,114.0,68.0,61.714285714285715,126.4,1.0026814243408946,0.0,-4.828975578189656,1.779523919574763,0.027247956403269755,432.0
2022-03-30,S001,P0001,Groceries,South,339,136,191,154.62,32.07,0,Snowy,0,35.44,Autumn,3.0,21.0,344.0,78.14285714285714,119.46666666666667,1.0096550398328077,0.0,-4.828975578189656,4.332663867080519,0.40106163373636095,547.0
2022-03-31,S001,P0001,Clothing,South,358,85,151,91.85,63.02,0,Sunny,0,61.79,Autumn,136.0,35.0,28.0,85.28571428571429,121.36666666666666,1.0096550398328077,0.0,-4.828975578189656,4.192738832190062,0.23736386484222283,597.0
2022-04-01,S001,P0001,Furniture,West,215,101,65,102.74,44.62,0,Cloudy,1,43.36,Summer,85.0,31.0,93.0,95.28571428571429,121.63333333333334,0.9924041127832443,0.0,-4.828975578189656,2.2540062902501123,0.4695490469549047,667.0
2022-04-02,S001,P0001,Furniture,East,200,70,54,74.21,81.11,15,Sunny,1,85.3,Winter,101.0,4.0,36.0,104.71428571428571,122.76666666666667,1.0026814243408946,0.0,-4.828975578189656,1.908136840670574,0.3498250874562719,733.0
2022-04-03,S001,P0001,Toys,South,208,32,142,42.34,51.04,15,Snowy,0,51.16,Summer,70.0,289.0,284.0,68.0,114.36666666666666,0.9924041127832443,0.0,-4.828975578189656,3.0543318649045523,0.15377222489187892,476.0
2022-04-04,S001,P0001,Furniture,North,70,54,197,60.25,70.04,10,Sunny,1,74.56,Summer,32.0,49.0,282.0,68.71428571428571,106.76666666666667,0.9924041127832443,0.0,-4.828975578189656,1.0172306414780985,0.7703281027104137,480.99999999999994
2022-04-05,S001,P0001,Groceries,East,309,165,105,176.64,90.24,10,Snowy,0,94.06,Winter,54.0,3.0,192.0,91.85714285714286,105.86666666666666,1.0026814243408946,0.0,-4.828975578189656,3.3602609911449433,0.5338078291814946,643.0
2022-04-06,S001,P0001,Groceries,West,322,158,29,174.98,23.65,10,Rainy,0,20.38,Spring,165.0,136.0,348.0,95.0,99.53333333333333,0.9953244926435111,0.0,-4.828975578189656,3.385909568874869,0.49053089102763114,665.0
2022-04-07,S001,P0001,Furniture,South,84,26,134,30.94,67.82,0,Snowy,1,62.89,Winter,158.0,85.0,32.0,86.57142857142857,99.33333333333333,1.0026814243408946,0.0,-4.828975578189656,0.9691775177188068,0.3091557669441142,606.0
2022-04-08,S001,P0001,Furniture,East,322,130,173,148.95,27.4,15,Rainy,0,24.46,Spring,26.0,101.0,26.0,90.71428571428571,102.8,0.9953244926435111,0.0,-4.828975578189656,3.5456976561271043,0.4036013660353927,635.0
2022-04-09,S001,P0001,Groceries,North,435,121,60,113.81,69.13,15,Cloudy,1,65.28,Spring,130.0,70.0,147.0,98.0,101.93333333333334,0.9953244926435111,0.0,-4.828975578189656,4.434250764525994,0.2780969891978855,686.0
2022-04-10,S001,P0001,Groceries,East,292,282,200,301.68,96.48,5,Sunny,0,92.65,Summer,121.0,32.0,141.0,133.71428571428572,106.63333333333334,0.9924041127832443,0.0,-4.828975578189656,2.182128749866553,0.9654228004108182,936.0
2022-04-11,S001,P0001,Groceries,South,376,358,192,367.23,46.43,0,Rainy,1,50.45,Spring,282.0,54.0,194.0,177.14285714285714,112.1,0.9953244926435111,0.0,-4.828975578189656,2.121383090191021,0.951874501462377,1240.0
2022-04-12,S001,P0001,Clothing,West,381,238,139,237.67,74.25,15,Rainy,0,78.42,Summer,358.0,165.0,95.0,187.57142857142858,116.86666666666666,0.9924041127832443,0.0,-4.828975578189656,2.0301438684631194,0.6245080031487799,1313.0
2022-04-13,S001,P0001,Electronics,East,433,279,79,293.17,78.35,10,Snowy,1,76.87,Autumn,238.0,158.0,74.0,204.85714285714286,123.7,1.0096550398328077,0.0,-4.828975578189656,2.112636788178713,0.6441930270145463,1434.0
2022-04-14,S001,P0001,Electronics,South,241,108,126,110.02,83.64,20,Sunny,0,79.51,Spring,279.0,26.0,78.0,216.57142857142858,124.7,0.9953244926435111,0.0,-4.828975578189656,1.1122832465220545,0.44794690999585235,1516.0
2022-04-15,S001,P0001,Toys,West,136,32,165,24.81,95.63,10,Sunny,1,90.95,Winter,108.0,130.0,230.0,202.57142857142858,118.1,1.0026814243408946,0.0,-4.828975578189656,0.6710368647353211,0.23512123438648053,1418.0
2022-04-16,S001,P0001,Groceries,East,445,183,43,176.76,74.81,10,Cloudy,0,78.85,Spring,32.0,121.0,89.0,211.42857142857142,121.23333333333333,0.9953244926435111,0.0,-4.828975578189656,2.103734720064834,0.41114356324421475,1480.0
2022-04-17,S001,P0001,Toys,West,396,365,109,363.52,68.35,5,Cloudy,0,71.54,Summer,183.0,282.0,150.0,223.28571428571428,128.4,0.9924041127832443,0.0,-4.828975578189656,1.7727185521519475,0.9214844736177732,1563.0
2022-04-18,S001,P0001,Groceries,South,319,47,185,37.98,53.83,20,Rainy,0,50.51,Winter,365.0,358.0,285.0,178.85714285714286,120.46666666666667,1.0026814243408946,0.0,-4.828975578189656,1.7825496926638462,0.1472892510184895,1252.0
2022-04-19,S001,P0001,Electronics,North,60,41,195,38.56,66.6,15,Rainy,1,62.37,Winter,47.0,238.0,40.0,150.71428571428572,120.5,1.0026814243408946,0.0,-4.828975578189656,0.39784029553850525,0.6821963394342762,1055.0
2022-04-20,S001,P0001,Furniture,North,164,51,131,46.97,14.9,20,Cloudy,1,13.27,Summer,41.0,279.0,58.0,118.14285714285714,120.26666666666667,0.9924041127832443,0.0,-4.828975578189656,1.3869759574725142,0.3107861060329068,827.0
2022-04-21,S001,P0001,Furniture,North,320,107,27,109.15,84.81,0,Rainy,1,87.15,Winter,51.0,108.0,114.0,118.0,120.03333333333333,1.0026814243408946,0.0,-4.828975578189656,2.7095681625740897,0.33427054045610743,826.0
2022-04-22,S001,P0001,Groceries,West,407,405,68,410.98,93.83,15,Snowy,0,97.11,Autumn,107.0,32.0,21.0,171.28571428571428,132.83333333333334,1.0096550398328077,0.0,-4.828975578189656,2.3747603567558557,0.9948415622697125,1199.0
